0,3,6,12,25,50,,,,
0,0,0,0,0,0,,,,
0.0433,0.0333,0.03,0.0307,0.0257,0.017,,,,
0.177,0.179,0.1813,0.173,0.1333,0.0907,,,,
0.3757,0.3477,0.3697,0.3397,0.33,0.2747,,,,
0.4467,0.4363,0.448,0.4227,0.411,0.3753,,,,
0.613,0.558,0.6037,0.526,0.4977,0.4383,,,,
0.7617,0.7453,0.736,0.6613,0.627,0.5063,,,,
0.8103,0.824,0.8687,0.7147,0.7133,0.551,,,,
0.8427,0.903,0.9023,0.863,0.808,0.652,,,,
0.8673,0.972,0.949,0.869,0.8317,0.6757,,,,
0.8893,0.9827,0.9893,0.8987,0.8773,0.6947,,,,
0.9033,1.0403,1.0233,0.918,0.8827,0.7077,,,,
0.9197,1.0673,1.0517,0.9423,0.9063,0.715,,,,
0.9323,1.0797,1.0663,0.9453,0.923,0.7297,,,,
0.937,1.1257,1.0727,0.9623,0.9177,0.743,,,,
0.932,1.072,1.0713,0.95,0.9493,0.745,,,,
0.9263,1.0147,1.062,0.9373,0.922,0.7723,,,,
0.9193,1.0997,1.0527,0.9143,0.944,0.763,,,,
0.9183,1.1397,1.0463,0.906,0.9053,0.7503,,,,
0.9123,1.109,1.0377,0.9207,0.9377,0.7297,,,,
